标题,时间,来源,新闻内容,责任编辑,新闻网址,图片链接,视频链接
科技部等十部门部署开展科技成果评价改革试点工作,2021/12/7 9:16,人民网,十部门部署开展科技成果评价改革试点工作要点概览。制图：赵竹青人民网北京12月7日电 （记者赵竹青）据科技部官方微信消息，近日，科技部、教育部、财政部、人力资源社会保障部、卫生健康委、国务院国资委、中科院、工程院、国防科工局、中国科协等十部门联合启动科技成果评价改革试点工作。科技部政策法规与创新体系建设司介绍，试点工作将全面落实科技成果评价机制改革任务部署，围绕“评什么”“谁来评”“怎么评”“怎么用”开展试点，统筹科研项目和团队评价，发挥基层首创精神，打造改革示范样板，切实把以科技创新质量、绩效、贡献为核心的正确评价导向树立起来，把多元分类评价体系健全起来，更好激发科技人员积极性和创造性，产出更多高质量成果，加快实现高水平科技自立自强，为构建新发展格局和实现高质量发展提供科技支撑。试点工作目标是通过选择不同类型单位和地方开展有针对性的改革试点，推动科技成果评价观念转变、方式方法创新和体制机制改革，加紧探索简化实用的制度、规范和流程，突破改革落地难的问题，尽早形成可操作可复制的做法并进行推广，带动改革政策加快落实，确立科技成果评价的正确导向，发挥改革试点出成果、出经验、出人才的重要作用。试点期限为1年。试点工作将分为综合试点和专项试点两类。综合试点以省为单位，要求全面落实《国务院办公厅关于完善科技成果评价机制的指导意见》（国办发〔2021〕26号），制定综合试点实施方案，集中各方面资源力量，系统完善本地区科技成果评价体系。专项试点主要涉及建立科技成果五元价值评价机制，完善科技成果分类评价体系，坚决破除科技成果评价“四唯”，深化科技计划项目成果评价改革，健全重大科技项目知识产权管理流程，改革科技奖励提名制和评审机制，发挥金融投资在科技成果评价中的作用，发展科技成果市场化评价，建立科技成果转化尽职免责机制等方面任务，由相关高校、科研院所、医院、企业等法人单位推动落实。下一步，科技部作为改革试点主要责任单位，将联合教育部、财政部、人力资源社会保障部、卫生健康委、国务院国资委、中科院、工程院、国防科工局、中国科协建立试点工作协调机制，组织试点单位根据自身特点和改革需求，按照有突破、可操作、可考核的原则，就所承担的试点任务细化内容，编制试点实施方案，明确改革目标、改革思路及主要举措、进度安排、成果形式。推动试点单位切实履行法人主体责任，强化担当意识，确保试点工作顺利推进。试点工作期满后，科技部将商相关部门对试点单位工作完成情况进行总结评估，复制推广经验做法。有关单位和地区的试点工作成效将作为国家科技计划资源配置的重要参考。分享让更多人看到,责编：赵竹青、吕骞,http://finance.people.com.cn//n1/2021/1207/c1004-32301553.html,http://finance.people.com.cn//NMediaFile/2021/1207/MAIN202112071000000583747232582.jpg,
食品外包装检出阳性?海关总署对俄罗斯1家企业采取紧急预防性措施,2021/12/7 9:14,人民网,人民网北京12月7日电 （记者杨曦）据海关总署网站消息，因从进口自俄罗斯1批次冻细鳞大麻哈鱼的1个外包装样本中检出新冠病毒核酸阳性，按照《海关总署公告2020年第103号》的规定，全国海关自即日起暂停接受俄罗斯水产品生产企业Matsky LTD Fish processing plant（注册编号为CH-965）的产品进口申报1周。据了解，2020年9月发布的《海关总署公告2020年第103号》指出，为防范新冠肺炎疫情通过进口冷链食品输入风险，保护消费者身体健康安全，海关对检出新冠病毒核酸阳性的进口冷链食品境外生产企业实施紧急预防性措施，具体如下：同一境外生产企业输华冷链食品或其包装第1次和第2次被检出新冠病毒核酸阳性的，海关分别暂停接受该企业产品进口申报1周，期满后自动恢复；同一境外生产企业先后被检出新冠病毒核酸阳性3次及以上的，海关暂停接受该企业产品进口申报4周，期满后自动恢复。分享让更多人看到,责编：杨曦、吕骞,http://finance.people.com.cn//n1/2021/1207/c1004-32301547.html,,
2021人民财经高峰论坛“创视界?新未来”分论坛即将召开,2021/12/6 20:56,人民网,今年以来，我国战略性新兴产业加速发展，科技创新捷报频传：首个国产大飞机生产试飞中心竣工、“华龙一号”自主三代核电机组投入商业运行、液晶面板全球产业话语权不断增强……一系列新发明、新技术、新产品，正加快形成高质量发展新引擎，推动产业向中高端迈进。站在两个百年目标的交汇点和“十四五”开局的新起点，随着新一轮科技革命和产业变革深入发展，作为信息交互的重要端口，我国显示产业如何应对机遇与挑战，已成为行业实现跨越式高质量发展的必答题。12月7日下午，由人民网主办，合肥新站高新技术产业开发区管委会协办，维信诺支持的2021人民财经高峰论坛“创视界 新未来”分论坛将在安徽合肥举办，邀请来自政产学研的众多嘉宾齐聚一堂，通过交流研讨与开放合作，共话显示产业发展机遇与责任担当。本次论坛将邀请中国光学光电子行业协会、安徽省经济和信息化厅、安徽省科学技术厅、华南理工大学材料科学与工程学院等单位的相关负责人及专家学者共同参与并进行研讨。同时，来自维信诺、中兴通讯、辰显光电、弘信电子、晶合集成、华米等电子信息企业的代表将围绕显示行业产业机遇与超越发展展开深入交流。近年来，我国企业技术创新主体地位不断增强，创新要素加速向企业汇聚，一批具有国际竞争力的创新型企业加快发展壮大，日益发挥着技术创新生力军作用。据了解，与会单位将在论坛上携手发布《关于共建新兴显示产业生态圈的倡议书》，旨在有序带动上游材料、设备，下游终端等行业与新兴显示产业的合作，以科技创新推动我国经济高质量发展。在本次论坛的主旨发言和圆桌讨论环节，与会嘉宾和专家学者还将就电子信息企业如何助力行业高质量发展，产业链各方如何协同发力等议题研讨交流，共谋产业融合创新和迭代升级。分享让更多人看到,责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32301054.html,http://finance.people.com.cn//NMediaFile/2021/1206/MAIN202112062056000243009713225GK.png,
央行降准释放长期资金1.2万亿元?专家：促进经济运行在合理区间,2021/12/6 20:54,人民网,"人民网北京12月6日电 （记者杜燕飞）人民银行今日发布消息，为支持实体经济发展，促进综合融资成本稳中有降，人民银行决定于12月15日下调金融机构存款准备金率0.5个百分点（不含已执行5%存款准备金率的金融机构），共计释放长期资金约1.2万亿元。本次下调后，金融机构加权平均存款准备金率为8.4%。多位业内专家在接受人民网财经记者采访时表示，降准是做好跨周期调节的具体体现，没有改变稳健的货币政策取向。这将进一步引导金融机构加大对重点领域和薄弱环节的支持力度，降低实体经济融资成本，促进经济运行在合理区间。全面降准符合市场主体所需谈及本次降准的原因，招联金融首席研究员董希淼认为，从国际上看，今年下半年来全球经济景气度有所回落，能源价格上涨、供应链紧张制约了各国经济复苏。从国内看，上半年经济增速较快，但三季度国内生产总值（GDP）同比增速为4.9%，两年平均增速为4.9%。部分领域和中小微企业仍然较为困难。董希淼说，央行在此时宣布全面降准，是非常必要和及时的，有助于稳定市场主体的信心和预期，促进实体经济稳步持续恢复，帮助企业走出困境、健康发展。交通银行金融研究中心首席研究员唐建伟认为，本次降准是面对经济下行和部分领域风险上升的客观情况进行的适度反应，目的是加强跨周期调节，以更好地支持实体经济，防范金融风险。“此时降准不仅有空间，而且有必要。”民生银行首席研究员温彬表示，一方面我国明年经济工作面临不小的压力和挑战，降准是做好跨周期调节的具体体现。另一方面，全面降准0.5个百分点，体现了货币政策加大对实体经济特别是中小微企业的支持力度,有助于优化银行体系资金结构、降低银行机构资金成本，鼓励和引导金融机构进一步加大对实体经济支持力度，降低实体经济融资成本。“此次降准的目的是加强跨周期调节，优化金融机构的资金结构，提升金融服务能力，更好支持实体经济。”人民银行有关负责人表示，一是在保持流动性合理充裕的同时，有效增加金融机构支持实体经济的长期稳定资金来源，增强金融机构资金配置能力。二是引导金融机构积极运用降准资金加大对实体经济特别是中小微企业的支持力度。三是此次降准降低金融机构资金成本每年约150亿元，通过金融机构传导可促进降低社会综合融资成本。释放长期资金约1.2万亿元“此次降准为全面降准，除已执行5%存款准备金率的部分县域法人金融机构外，对其他金融机构普遍下调存款准备金率0.5个百分点。同时，考虑到参加普惠金融定向降准考核的大多数金融机构都达到了支农支小（含个体工商户）等考核标准，政策目标已实现，有关金融机构统一执行最优惠档存款准备金率，这样此次降准共计释放长期资金约1.2万亿元。”人民银行有关负责人表示。本次降准后将对市场带来哪些具体的影响？董希淼表示，这将继续为银行提供长期、稳定的低成本资金，在增加银行体系流动性的同时降低银行资金成本，有助于提升银行服务中小微企业和个体工商户的意愿和能力，巩固降低实体经济综合融资成本等政策效果，使银行让利实体经济、服务小微企业的行为更具持续性。“据央行测算，此次降准降低银行资金成本每年约150亿元。降准之后，对银行来说，流动性更加充裕，资金成本更低，信贷投放意愿和能力都将提升。对企业来说，将更容易从银行获得贷款，贷款利率也有望进一步下降，融资成本更低。”董希淼表示。东方金诚首席研究员王青认为，降准可以适度降低中小微企业融资成本，部分对冲上游原材料价格上涨给企业经营带来的压力，有效释放稳增长信号，有助于稳定今年底明年初宏观经济运行。“本次降准再次凸显我国货币政策的自主性。当前我国货币政策强调‘以我为主’，符合国内经济调控的实际需求，也符合大国政策普遍更具有内向性特征的一般规律。”王青表示，考虑到当前及未来一段时间我国出口将延续较高增速，本次降准有可能适度抑制人民币过快升值，为出口企业提供更为稳定有利的汇率环境。没有改变稳健的货币政策取向人民银行有关负责人表示，稳健货币政策取向没有改变。此次降准是货币政策常规操作，释放的一部分资金将被金融机构用于归还到期的中期借贷便利（MLF），还有一部分被金融机构用于补充长期资金，更好满足市场主体需求。“此次降准是全面降准，但不意味着货币政策滑向宽松。降准虽然释放了约1.2万亿元，但部分资金将被用于归还到期的中期借贷便利（MLF），实际释放的流动性相对可控，不存在‘大水漫灌’情况。”董希淼表示，此次降准的目的是加强跨周期调节，优化金融机构资金的期限结构，更好地支持和服务实体经济，也再次传递出维护流动性合理充裕的信号，有利于实体经济恢复和巩固，从根本上利于房地产市场和资本市场健康可持续发展。温彬也认为，这次降准并非货币政策转向宽松，而是在确保流动性合理充裕的前提下，更好地发挥结构性货币政策工具的作用，加大对中小企业、绿色发展、科技创新等重点领域和薄弱环节的支持力度，推动经济爬坡过坎，促进经济运行在合理区间。唐建伟指出，降准作用于银行体系的路径是通过降低银行体系的负债成本，来释放更多长期资金。而资金的最终落地将着眼于让利实体经济，尤其是加大对中小微企业、绿色、科创、制造业等重点领域和薄弱环节的支持力度。“下一步，人民银行将继续实施稳健的货币政策，坚持稳字当头，不搞大水漫灌，兼顾内外平衡，保持流动性合理充裕，保持货币供应量和社会融资规模增速同名义经济增速基本匹配，加强跨周期调节，统筹做好今明两年宏观政策衔接，支持中小企业、绿色发展、科技创新，为高质量发展和供给侧结构性改革营造适宜的货币金融环境。”?人民银行有关负责人表示。分享让更多人看到",责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32301053.html,,
发现31个新种！我国野生兰科专项调查取得重要成果,2021/12/6 20:48,人民网,国家二级保护野生植物——波密杓兰。国家林业和草原局供图人民网北京12月6日电 （记者余璐）记者从国家林业和草原局获悉，正在进行的全国野生兰科植物资源专项调查项目取得阶段性重要成果，查清了云南、广西、西藏等16个兰科重点分布的省区市野生兰科植物的种类和分布情况，发现了贡山小红门兰、米林舌唇兰、中华珊瑚兰等31个新种，条纹双唇兰、广椭牛齿兰等12个中国新记录种以及1个大陆新记录属拟蜘蛛兰属。野生兰科植物新种——贡山小红门兰。国家林业和草原局供图国家林业和草原局相关负责人表示，近年来，由于无序开发利用和原生地生态系统退化等因素，导致野生兰科植物资源急剧减少，甚至区域性灭绝，全面加强保护已迫在眉睫。为加大我国兰科植物资源保护力度，建立科学的管理监测体系，国家林业和草原局于2018年启动全国野生兰科植物资源专项调查项目。国家二级野生保护植物——带叶兜兰。国家林业和草原局供图“三年来，调查人员相继完成了云南、贵州、广西等5个兰科重点分布省区和西藏、福建、重庆等11个次重点分布省区市的资源调查。今年又启动了浙江、江西、陕西等9个省区的调查工作。”该负责人表示，专项调查预计2023年结束，目前共完成样方调查78776个。记录兰科植物约13.2万次，记录物种约1258种。其中约800种原生兰科植物在植物园中得到迁地保护，约65%的物种在国家级或省级自然保护区有分布。野生兰科植物新种——中华珊瑚兰。国家林业和草原局供图据介绍，目前，专项调查进展顺利。建立了可复查、可拓展、可监测的科学调查体系，系统全面地掌握了全国野生兰科植物资源本底状况、多样性、居群地理分布、濒危程度和保护现状，对造成野生兰科植物资源濒危的因素进行了全面深入的研究和评估分析，丰富了对我国兰科植物多样性和面临威胁的认知，为《国家重点保护野生植物名录》调整、物种的精准就地保护和迁地保护、建立以兰科植物为代表的野生植物监测保护管理体系等工作提供了重要科学依据。野生兰科植物新种——米林舌唇兰。国家林业和草原局供图记者了解到，我国是世界兰科植物多样性最丰富的国家之一，目前记载兰科植物共181属1745种。其中，国家重点保护的野生兰科植物占我国重点保护野生植物种类总数的1/4。兰科植物具有重要的经济价值和独特的观赏价值，在我国开发栽培历史悠久，并形成了独特的“兰文化”。国家一级保护野生植物——暖地杓兰。国家林业和草原局供图分享让更多人看到,责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32301050.html,http://finance.people.com.cn//NMediaFile/2021/1206/MAIN202112062048000118129503709GK.png,
陈华平任深圳证券交易所党委书记,2021/12/6 19:34,人民网,人民网北京12月6日电 （记者王震）据证监会网站消息，12月6日下午，深圳证券交易所召开领导班子（扩大）会议。受中央组织部领导委派，中央组织部有关干部局主要负责同志宣布了中央决定：陈华平同志任深圳证券交易所党委书记。分享让更多人看到,责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32301018.html,,
160余吨“洋垃圾”走私入境被青岛海关查获,2021/12/6 19:30,人民网,人民网北京12月6日电 （记者王震）据青岛海关网站6日消息，近日，青岛海关缉私局立案侦办昆山某公司涉嫌走私禁止进口固体废物案，涉案走私进境硅废碎料160余吨，抓获犯罪嫌疑人2名，已采取刑事强制措施。海关关员查获禁止进口硅废碎料。图片来源：青岛海关此前，烟台海关驻港口办事处对一批进口申报品名为“单晶硅棒”的货物实施现场查验，查验关员发现货物疑似禁止进境的固体废物。经取样送检，海关技术中心实验室鉴定确认，货物为单晶硅加工生产过程中产生的头尾切割料、锅底料的混合物，属于我国禁止进口的固体废物。据悉，涉案企业及主要人员拥有专业知识和从业背景，对实际货物属性具有主观明知。经查明，涉案企业昆山某公司实际控制人李某为谋取非法利益，在明知进口货物是国家禁止进口的硅回收废料情况下，采取伪报品名、税则号列的方式走私进口硅废料，涉案走私进境硅废碎料160余吨。目前，案件正在进一步侦办中。分享让更多人看到,责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32301016.html,http://finance.people.com.cn//NMediaFile/2021/1206/MAIN202112061922000235688178853.jpg,
聚焦纳税人缴费人需求?北京市推出税费服务新举措,2021/12/6 18:27,人民网,"人民网北京12月6日电 （记者车柯蒙）近日，国家税务总局北京市税务局在北京举行业务应用场景发布会，重点推介5个可复制、可推广的业务应用场景，以点带面呈现首都深化税收征管改革取得的新突破、新成效。国家税务总局北京市税务局一级巡视员郑怀远出席发布会。据了解，北京市税务局聚焦纳税人缴费人和税务人的急难愁盼问题，创新运用区块链、人工智能等新技术，聚力攻关，推出一系列优化税费服务业务应用场景，以“四化”“四率先”构建智慧北京税务。在国务院第八次大督查中，“北京市打造‘智慧税务’助推惠企利民政策落地见效”的典型经验受到通报表扬。2021年，北京市税务局首批共推出18个企业反响好、群众体验优的亮点应用场景对外推介，除本次发布会之外，还将通过北京税务公众号同步发起“北京市税务局‘十八个便民利民创新服务场景’品鉴活动”，诚邀广大纳税人缴费人、税务人评选出最受欢迎的优秀业务应用场景。据介绍，“定制e服务”是在北京市电子税务局平台上，将税费缴纳10大独立业务模块中的事项办理与消息推送进行整合，汇聚大数据平台、电子税务局、核心征管等系统数据，记录纳税人办税习惯与行为偏好，为纳税人“打”标签、“画”画像，通过“一看三提醒”进行个性推送。巧用“加”集成服务，统一入口集中展示应看应办；“减”多头查询，降低纳税人办税时间成本；“乘”税收红利，结合“纳税人缴费人税收红利账单”定制工作，使纳税人税收红利及时享；消“除”风险，为纳税人实现信息定制推送、动态预警等全方位保驾护航，助力建设“定制服务广覆盖”的税费服务新体系。“在线导办”远程实时交互，通过“智能+人工”相结合，在北京市电子税务局平台上为纳税人缴费人提供实时互动咨询服务，打造税企双方的“沉浸式体验”。以数据技术为支撑，应用“知识库+搜索引擎+语义识别”技术，提升机器人智能水平；引入客户关系管理理念，整合多种数据信息，助力税务干部了解纳税人“一户式”全景信息；采用多线程并发执行技术，实现人工客服一对多高效回复。集咨询、导税、预审于一体，提供辅导纳税人“应该怎么办”的陪伴式办税咨询服务。10月，全市在线导办咨询总量达61513户次，环比增加50.34%，月均导办满意度超99%,电子税务局满意度为99.89%。与此同时，北京市税务局打造增值税发票“自动审批、自动验旧、网上申领、物流配送”的“一条龙”云服务，精准服务北京市180余万户纳税主体。在发票核定环节，通过税收大数据“信用+风险”分析，率先实现增值税发票“全票种、全流程、全线上”自动审批，正常经营纳税人增值税发票审批时间由以往最长的20个工作日缩短至即时办结，跑出“北京速度”。在发票领用环节，推出“票e送”服务，实现发票领用“足不出户”，通过“票e送”领用发票在全部领用发票业务中的占比已经达到70%。在发票验旧环节，全国率先引入“流计算”技术，每秒最高计算1万条数据，实现验旧“秒办结”。纳税人可通过线上全年365天办理增值税发票申请事项，切实做到“线上服务不打烊”。二手房交易缴税业务实现了“智能算税”，可根据纳税人在网上提交的业务信息，自动汇集跨部门“区块链”共享数据，即时调用AI审核规则，在1-3分钟内完成全部税务审核流程。该功能整合运用税务、登记、住建、民政等多部门“区块链”数据共享功能，包括自动调用产权登记数据判断房屋性质、调用空间定位服务判断房屋计价区域、调用婚姻登记数据判断家庭住房情况、调用税收历史数据核实房屋原值信息等，实现二手房交易办税全过程无人工干预，将原先“现场排队等一天”的办理时长压缩到“网上1-3分钟出结果”。纳税人网上缴款后，立刻获取电子完税凭证，足不出户即可办结全部涉税流程。依托大数据分析和人工智能技术，为纳税人提供免申请、自动化、主动式退税。将小额退税限额由500元提升至5000元，在纳税人申请税务机关办理、国库银行退库的全过程取消纸质资料流转，统一各部门审核标准，实现全链条、跨部门的电子化秒级数据传递。在企业所得税汇算清缴过程中，系统自动预填可退税款、纳税人免填申请单、免提交申请资料，全市4.1万户企业所得税纳税人，体验了一键退税。“全自动退”业务上线后，大数据2秒钟运算筛查出近三年全市多缴未退的车船税款，机器人1秒钟办完全流程并推至国库退还，将以往的“面对面、纸递纸”工作模式，转变为“智能化、数字化”工作模式。据了解，下一步，北京市税务局将持续按照《意见》部署要求，以首善标准聚力改革，以开放视野谋划创新，分批次叠加推出形式多样、务实高效、智能便捷的税费服务新举措，切实增强纳税人缴费人的满意度和获得感，让纳税人缴费人享受更多的改革红利。分享让更多人看到",责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32301004.html,,
国家乡村振兴局：《农村人居环境整治三年行动方案》目标任务完成,2021/12/6 18:27,人民网,人民网北京12月6日电 （记者李栋）6日，国务院新闻办公室举行新闻发布会介绍农村人居环境整治提升五年行动有关情况。中央农办副主任、农业农村部党组成员、国家乡村振兴局局长刘焕鑫表示，截至2020年底，《农村人居环境整治三年行动方案》目标任务全面完成，农村人居环境得到明显改善。刘焕鑫表示，改善农村人居环境事关广大农民福祉、事关农民群众健康，事关美丽中国建设。2018年以来，各地各部门深入贯彻党中央、国务院决策部署，认真落实农村人居环境整治三年行动方案，在多个方面取得重要阶段性成效。刘焕鑫介绍说，整治工作全面推开，目标任务全面完成。2018年以来，累计改造农村户厕4000多万户，截至2020年底，全国农村卫生厕所普及率达到68%以上，预计今年超过70%。农村生活垃圾进行收运处理的自然村比例稳定保持在90%以上，农村生活污水治理率达到25.5%。农村脏乱差局面得到扭转，农民生活质量普遍提高。全国95%以上的村庄开展了清洁行动，农村从普遍脏乱差转变为基本干净整洁有序；农村生活基础设施大幅改善，全国具备条件的乡镇、建制村100%通硬化路、100%通客车；各地区立足实际打造了5万多个不同类型的美丽宜居村庄。农民环境卫生观念显著提升，参与整治积极性逐步增强。通过政策宣讲、培训宣传等，农民群众认识到农村人居环境整治不仅可以改善村庄环境，还有利于促进卫生健康。特别是各地通过村庄清洁行动、厕所改造和生活污水垃圾治理等，降低了疫病传播风险。刘焕鑫表示，同时也要看到，与乡村全面振兴和农民群众生活品质改善要求相比，还存在区域进展不平衡、技术支撑不到位、农民参与不充分、长效机制不健全等问题。“十四五”时期将坚持问题导向，完善政策、健全机制，进一步提升农村人居环境治理水平，把好事办好、实事办实。分享让更多人看到,责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32301003.html,,
我国5G建设发展取得积极成效?累计建成129.1万个5G基站,2021/12/6 18:27,人民网,人民网北京12月6日电 （记者乔雪峰）12月6日，2021年IMT-2020（5G）大会开幕式暨主论坛在深圳举行，本次大会以“聚众智 融万物 惠百业”为主题，政产学研用各界代表齐聚一堂，共享5G经验、共谋5G发展、共创5G未来。工业和信息化部总工程师韩夏在开幕式上指出，我国5G建设发展取得积极成效。截至今年10月底，我国累计建成5G基站129.1万个，覆盖全国所有地级以上城市市区、97%以上的县区以及50%的乡镇镇区，行业虚拟专网数量超过2300张。5G手机、模组价格分别下探至1000元和500元，工业网关、车载终端、智能穿戴等新型终端不断涌现。终端连接数超过4.7亿，用户渗透率达到28.7%，5G应用已覆盖一、二、三产业的诸多领域，部分重点领域已进入商业落地阶段。韩夏表示，2021年是我国“十四五”开局之年，也是5G规模化应用的关键之年。下一步，一是要加快网络建设，推进纵深覆盖。坚持适度超前理念，紧贴不同场景需求，推动5G网络按需建设、深度覆盖。二是要坚持创新驱动，弥补产业短板。支持骨干企业加强产业链建设，带动上下游企业协同攻关，完善产业链供应链体系。三是要深化应用探索，提升供给水平。发挥“绽放杯”等平台作用，深度挖掘、培育典型5G应用，验证一批、成熟一批、复制一批。四是要加强跨界协作，优化应用生态。加强跨部门、跨行业、跨领域协作，不断壮大5G应用产业大生态。五是要坚持开放共享，促进互利共赢。坚定不移地走国际化道路，在标准制定、技术研发、网络建设、应用拓展、用户权益保护、人才交流等诸多领域开展全方位务实合作。深圳市副市长郑红波在讲话中指出，截至今年10月底，深圳累计建成5G基站5万个，基站密度达每平方公里24.68个，5G用户达761万。布局了5G中高频器件创新中心、5G产业创新生态运营中心、5G联合创新中心等重大支撑平台。郑红波进一步表示，未来，深圳将进一步加大5G发展的支持力度，持续提升5G网络覆盖质量，支持5G中高频器件创新中心等载体建设，加快多功能智能杆等新型基础设施建设，为5G产业发展、行业应用提供领先的硬件基础。分享让更多人看到,责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32301001.html,,
人民银行降准0.5个百分点?释放长期资金约1.2万亿元,2021/12/6 17:09,人民网,图为人民银行官网截图人民网北京12月6日电 （记者罗知之）据人民银行官网消息，为支持实体经济发展，促进综合融资成本稳中有降，人民银行决定于12月15日下调金融机构存款准备金率0.5个百分点（不含已执行5%存款准备金率的金融机构），共计释放长期资金约1.2万亿元。本次下调后，金融机构加权平均存款准备金率为8.4%。人民银行有关负责人表示，稳健货币政策取向没有改变。此次降准是货币政策常规操作，释放的一部分资金将被金融机构用于归还到期的中期借贷便利（MLF），还有一部分被金融机构用于补充长期资金，更好满足市场主体需求。人民银行坚持正常货币政策，保持政策的连续性、稳定性、可持续性，不搞大水漫灌，为高质量发展和供给侧结构性改革营造适宜的货币金融环境。“此次降准的目的是加强跨周期调节，优化金融机构的资金结构，提升金融服务能力，更好支持实体经济。一是在保持流动性合理充裕的同时，有效增加金融机构支持实体经济的长期稳定资金来源，增强金融机构资金配置能力。二是引导金融机构积极运用降准资金加大对实体经济特别是中小微企业的支持力度。三是此次降准降低金融机构资金成本每年约150亿元，通过金融机构传导可促进降低社会综合融资成本。”该负责人说。此次降准释放多少资金？人民银行有关负责人介绍，此次降准为全面降准，除已执行5%存款准备金率的部分县域法人金融机构外，对其他金融机构普遍下调存款准备金率0.5个百分点，同时考虑到参加普惠金融定向降准考核的大多数金融机构都达到了支农支小（含个体工商户）等考核标准，政策目标已实现，有关金融机构统一执行最优惠档存款准备金率，这样此次降准共计释放长期资金约1.2万亿元。下一步，人民银行将继续实施稳健的货币政策，坚持稳字当头，不搞大水漫灌，兼顾内外平衡，保持流动性合理充裕，保持货币供应量和社会融资规模增速同名义经济增速基本匹配，加强跨周期调节，统筹做好今明两年宏观政策衔接，支持中小企业、绿色发展、科技创新，为高质量发展和供给侧结构性改革营造适宜的货币金融环境。分享让更多人看到,责编：罗知之、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32300967.html,http://finance.people.com.cn//NMediaFile/2021/1206/MAIN202112061714000477673351590.png,
6819个村落被列入中国传统村落保护名录?住建部：已建立挂牌保护制度,2021/12/6 16:53,人民网,人民网北京12月6日电 （王仁宏）“近年来，住房和城乡建设部实施了传统村落保护工程，加强村庄风貌的引导，取得了积极的成效。”在今日国务院新闻办公室举行的农村人居环境整治提升五年行动新闻发布会上，住房和城乡建设部村镇建设司司长秦海翔就我国保护传统村落的积极成效进行介绍。“截至目前，住房和城乡建设部已分五批将6819个有重要保护价值的村落列入了中国传统村落保护名录，建立了挂牌保护制度。在10个市州实施集中连片保护利用示范，建设了中国传统村落数字博物馆。通过几年的努力，扭转了传统村落快速消失的局面，增强了中华优秀传统文化的影响力。同时，住房和城乡建设部推进设计下乡活动，指导各地在农房和村庄建设中注重保护乡村特色风貌，提高乡村设计和建设水平。”从摆脱“脏乱差”到追求乡村美，农村人居环境整治迈入了新征程。日前，中共中央办公厅、国务院办公厅印发了《农村人居环境整治提升五年行动方案（2021—2025年）》（以下简称《行动方案》）。在加强乡村风貌引导方面，《行动方案》提出，加强村庄风貌引导，突出乡土特色和地域特点，不搞千村一面，不搞大拆大建。弘扬优秀农耕文化，加强传统村落和历史文化名村名镇保护，积极推进传统村落挂牌保护，建立动态管理机制。秦海翔谈道，这次《行动方案》将加强乡村风貌引导作为一项重要任务，对保护传统村落和乡村特色风貌提出了工作要求。住房和城乡建设部将认真贯彻落实，重点抓好以下几方面工作：一是加强传统村落保护利用。继续开展中国传统村落的调查认定，指导各地完善省级传统村落名录，将有重要保护价值的村落纳入名录的管理。健全传统村落评估和警示退出的机制，加强动态的监管。继续推进传统村落保护利用试点示范，统筹保护利用传统村落和自然山水、历史文化、田园风光等资源，发展乡村旅游、文化创意等产业，让传统村落焕发出新的活力。二是提升乡村特色风貌。我们指导各地以农房为主体，整治提升村容村貌，塑造具有乡土特色的自然景观和乡村生境，构建乡村建设的营建要点，在农房的设计建造、环境整治和公共空间建设、特色风貌保护等方面提出基本的要求，营造留住乡愁的村庄环境。持续开展设计下乡，加强乡村建设工匠的培训管理，培育乡村建设的人才队伍。三是完善相关法律法规和政策机制。完善乡村建设相关法律法规，为加强传统村落和乡村特色风貌保护提供法治保障。建立共建共治共享的工作机制，发挥基层党建引领作用，充分调动农民群众共同保护优秀传统文化，共建美好家园的积极性、主动性。全面开展乡村建设评价，将传统村落和乡村特色风貌保护作为重要内容，整体提升乡村建设水平，建设美丽宜居乡村。分享让更多人看到,责编：王仁宏、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32300954.html,,
“天宫课堂”第一课定于12月9日下午在中国空间站开讲,2021/12/6 16:27,人民网,人民网北京12月6日电 （记者赵竹青）据中国载人航天工程办公室消息，“天宫课堂”第一课定于12月9日15:40开始，神舟十三号乘组航天员翟志刚、王亚平、叶光富将在中国空间站进行太空授课。中央广播电视总台将进行全程现场直播。本次太空授课活动将采取天地互动方式进行，在中国科技馆设置地面主课堂，在广西南宁、四川汶川、香港、澳门设置地面分课堂。届时3名航天员将在轨介绍展示中国空间站工作生活场景，演示微重力环境下细胞学实验、物体运动、液体表面张力等现象（授课项目附后），并与地面课堂进行实时交流，传播载人航天知识，激发广大青少年对科学的兴趣。中国航天员真诚邀请广大青少年在地面同步尝试开展相关实验，从天地差异中感知宇宙的奥秘、体验探索的乐趣。中国空间站首次太空授课项目1 航天员在轨工作生活场景展示2 太空细胞学研究实验展示3 太空转身4 浮力消失实验5 水膜张力实验6 水球光学实验7 泡腾片实验8 天地互动交流分享让更多人看到,责编：赵竹青、吕骞,http://finance.people.com.cn//n1/2021/1206/c1004-32300921.html,,
